,公司代號,公司名稱,實收資本額
219,2025,千興不銹鋼(股)公司,2811672620
220,2027,大成不銹鋼工業股份有限公司,16584658530
221,2028,威致鋼鐵工業股份有限公司,3257148000
222,2029,盛餘股份有限公司,3211800000
223,2030,彰源企業股份有限公司,2805260270
224,2031,新光鋼鐵股份有限公司,3082861070
225,2032,新鋼工業股份有限公司,1305215450
226,2033,佳大世界股份有限公司,806945360
227,2034,允強實業股份有限公司,4371307430
228,2038,海光企業股份有限公司,1812645220
229,2049,上銀科技股份有限公司,3308662520
230,2059,川湖科技股份有限公司,952970720
231,2062,橋椿金屬股份有限公司,1630141520
232,2069,運錩鋼鐵股份有限公司,1563868360
233,2101,南港輪胎股份有限公司,8339349040
234,2102,泰豐輪胎股份有限公司,4733292070
235,2103,台橡股份有限公司,8257099780
236,2104,國際中橡投資控股股份有限公司,9847336250
237,2105,正新橡膠工業股份有限公司,32414155360
238,2106,建大工業股份有限公司,9094100000
239,2107,厚生股份有限公司,3423260000
240,2108,南帝化學工業股份有限公司,4924166590
241,2109,華豐橡膠工業股份有限公司,2793491340
242,2114,鑫永銓股份有限公司,709015520
243,2115,六暉控股股份有限公司,903663750
244,2201,裕隆汽車製造股份有限公司,10000000000
245,2204,中華汽車工業股份有限公司,5536203420
246,2206,三陽工業股份有限公司,8030776040
247,2207,和泰汽車股份有限公司,5461791840
248,2208,台灣國際造船股份有限公司,9230554930
249,2211,長榮鋼鐵股份有限公司,4199819630
250,2227,裕隆日產汽車股份有限公司,3000000000
251,2228,劍麟股份有限公司,757802810
252,2231,為升電裝工業股份有限公司,1219166650
253,2233,宇隆科技股份有限公司,602880890
254,2236,百達精密工業股份有限公司,457597030
255,2239,開曼英利工業股份有限公司,1180070000
256,2241,艾姆勒車電股份有限公司,896023060
257,2243,宏旭控股股份有限公司,456685290
258,2247,汎德永業汽車股份有限公司,807087350
259,2250,第一化成控股(開曼)股份有限公司,270000000
260,2301,光寶科技股份有限公司,23508670320
261,2302,麗正國際科技股份有限公司,1663028810
262,2303,聯華電子股份有限公司,124232694930
263,2305,全友電腦股份有限公司,2056608270
264,2308,台達電子工業股份有限公司,25975433290
265,2312,金寶電子工業股份有限公司,14685182110
266,2313,華通電腦股份有限公司,11918205890
267,2314,台揚科技股份有限公司,2280283200
268,2316,楠梓電子股份有限公司,1827405360
269,2317,鴻海精密工業股份有限公司,138629906090
270,2321,東訊股份有限公司,945997770
271,2323,中環股份有限公司,11588812000
272,2324,仁寶電腦工業股份有限公司,44071466250
273,2327,國巨股份有限公司,4988838570
274,2328,廣宇科技股份有限公司,5183462820
275,2329,華泰電子股份有限公司,5568610330
276,2330,台灣積體電路製造股份有限公司,259303804580
277,2331,精英電腦股份有限公司,5574029680
278,2332,友訊科技股份有限公司,6519961660
279,2337,旺宏電子股份有限公司,18561270020
280,2338,台灣光罩股份有限公司,2527136110
281,2340,光磊科技股份有限公司,3786228460
282,2342,台灣茂矽電子股份有限公司,1561651440
283,2344,華邦電子股份有限公司,39800001930
284,2345,智邦科技股份有限公司,5594673970
285,2347,聯強國際股份有限公司,16679469680
286,2348,海悅國際開發股份有限公司,967835680
287,2349,錸德科技股份有限公司,6936796630
288,2351,順德工業股份有限公司,1821402490
289,2352,佳世達科技股份有限公司,19667819580
290,2353,宏碁股份有限公司,30478538280
291,2354,鴻準精密工業股份有限公司,14144851920
292,2355,敬鵬工業股份有限公司,3974954200
293,2356,英業達股份有限公司,35874750660
294,2357,華碩電腦股份有限公司,7427602800
295,2358,廷鑫興業股份有限公司,1246161720
296,2359,所羅門股份有限公司,1714710520
297,2360,致茂電子股份有限公司,4216315370
298,2362,藍天電腦股份有限公司,6497630000
299,2363,矽統科技股份有限公司,6309674730
300,2364,倫飛電腦實業股份有限公司,1959324330
301,2365,昆盈企業股份有限公司,2245284960
302,2367,燿華電子股份有限公司,6194071750
303,2368,金像電子(股)公司,5464878410
304,2369,菱生精密工業股份有限公司,3801023440
305,2371,大同股份有限公司,23395366850
306,2373,震旦行股份有限公司,2362025180
307,2374,佳能企業股份有限公司,2823628120
